L1	L2	L3	L4	R1	R2	R3	R4	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0	#	#	1	1	#	1	1	1	0.236	0.749	1	71.69	24897	17339	0.62		179	239
1	0	#	#	0	1	0	#	3	0.241	0.752	4	100.13	24986	17352	0.62		179	238
1	1	#	1	#	#	#	1	3	0.208	0.73	2	68.22	24994	17409	0.5		325	445
#	#	0	#	1	1	1	#	1	0.236	0.749	3	89.73	24983	17415	0.5		353	471
1	#	#	#	1	1	1	#	3	0.211	0.732	2	87.68	24962	17456	0.5		323	441
1	0	#	0	#	1	0	#	3	0.236	0.749	1	106.61	24986	17518	0.62		176	235
1	#	#	#	1	0	#	0	2	0.233	0.747	1	104.83	24956	17532	0.5		349	467
#	1	0	0	#	#	#	1	1	0.236	0.749	3	70.17	24946	17609	0.5		346	462
0	1	#	0	0	#	#	0	0	0.241	0.752	2	74.99	24982	17643	0.62		173	230
#	1	#	0	#	#	#	1	1	0.056	0.562	1	52.12	24946	17674	0.38		514	915
0	0	#	1	0	#	0	1	1	1	1	5	98.17	24863	17695	0.75		113	113
#	#	0	0	1	0	0	#	0	0.243	0.753	2	94.5	24953	17734	0.62		171	227
0	0	0	1	#	1	0	#	1	0.237	0.75	1	120.89	24913	17745	0.75		84	112
1	0	0	1	#	#	1	1	1	0.241	0.752	2	61.55	24976	17806	0.75		85	113
0	0	1	0	#	1	1	#	3	0.237	0.75	1	56.57	24997	17829	0.75		84	112
#	0	1	#	1	0	0	#	2	0.236	0.749	3	98.21	24956	17874	0.62		167	223
#	#	1	0	1	#	0	0	2	0.236	0.749	1	96.13	24925	17905	0.62		167	223
0	#	#	#	#	1	#	#	1	0.056	0.561	1	64.51	24983	17923	0.25		993	1769
#	#	0	#	1	#	#	1	1	0.056	0.562	1	58.83	24974	17924	0.38		500	889
1	1	#	#	1	0	0	1	2	0.234	0.748	1	56.4	24975	17931	0.75		83	111
#	#	1	1	1	1	1	0	3	0.23	0.745	1	68.22	24909	17957	0.75		82	110
1	0	0	0	0	0	#	#	2	0.241	0.752	1	67.88	24958	17977	0.75		82	109
#	0	0	#	0	1	0	#	1	0.237	0.75	2	86.66	24991	18079	0.62		162	216
0	0	#	1	1	1	#	#	1	0.235	0.749	2	78.17	24931	18107	0.62		161	215
#	0	0	1	1	#	1	#	1	0.234	0.748	2	77.69	24974	18164	0.62		160	214
#	0	#	1	0	1	1	0	0	0.245	0.755	2	67.75	24992	18174	0.75		80	106
0	#	0	#	1	0	#	#	0	0.239	0.751	2	96.72	24995	18285	0.5		314	418
0	1	#	0	1	0	#	#	0	0.239	0.751	1	90.07	24995	18297	0.62		157	209
0	0	1	0	0	#	#	1	3	0.241	0.752	2	61.85	24954	18298	0.75		79	105
1	1	#	1	#	1	1	#	3	0.184	0.713	2	68.68	24909	18357	0.62		129	181
0	0	1	0	1	#	0	#	2	0.226	0.743	1	61.23	24817	18432	0.75		75	101
#	0	0	1	1	#	0	0	0	1	1	2	88.39	24838	18453	0.75		101	101
#	#	1	1	0	0	1	#	2	0.245	0.755	2	85.49	24984	18495	0.62		154	204
0	#	#	#	0	0	1	1	0	0.243	0.754	2	48.37	24924	18524	0.62		153	203
1	#	1	1	0	1	#	#	3	0.231	0.746	1	90.91	24947	18567	0.62		150	201
1	#	#	0	#	#	0	0	2	0.056	0.562	1	74.26	24985	18585	0.5		225	400
#	1	1	1	0	#	#	0	2	0.235	0.749	3	82.46	24979	18602	0.62		149	199
0	1	#	0	0	#	#	1	1	0.231	0.746	2	82.4	24946	18641	0.62		147	197
1	#	1	#	1	#	1	#	3	0.209	0.731	3	105.61	24909	18683	0.5		269	368
#	0	1	#	0	#	1	0	2	0.241	0.753	3	94.8	24984	18696	0.62		146	194
#	0	0	1	#	#	#	0	0	0.234	0.748	2	71.18	24992	18702	0.5		294	393
#	0	#	1	0	#	#	0	0	0.056	0.562	1	70.91	24992	18848	0.5		216	384
0	0	#	#	0	#	1	0	0	0.237	0.75	3	86.45	24992	18848	0.62		144	192
0	1	#	0	#	0	#	#	0	0.237	0.75	2	78.93	24995	18851	0.5		288	384
#	0	#	0	1	0	1	1	3	0.233	0.747	1	50.83	24795	18907	0.75		71	95
0	#	#	#	1	1	0	0	0	0.246	0.755	2	66.36	24904	18950	0.62		142	188
#	#	1	#	#	0	#	0	2	0.237	0.75	2	103.92	24984	18976	0.38		563	751
0	0	#	#	1	1	0	0	0	0.242	0.753	1	67.54	24903	19015	0.75		70	93
0	#	0	#	#	1	0	#	1	0.234	0.748	3	102.21	24934	19046	0.5		276	369
#	1	0	0	0	#	1	#	0	0.239	0.751	3	78.76	24957	19069	0.62		139	185
0	0	#	#	0	1	0	#	1	0.237	0.75	2	75.56	24966	19078	0.62		138	184
#	0	0	1	0	#	0	#	1	0.237	0.75	4	83.55	24991	19103	0.62		138	184
#	1	1	1	#	1	0	#	3	0.239	0.751	2	86.13	24994	19105	0.62		139	185
1	#	1	0	0	#	1	#	2	0.246	0.756	2	100.24	24968	19140	0.62		136	180
1	#	1	#	0	1	#	#	3	0.237	0.75	3	113.9	24986	19144	0.5		273	364
0	0	1	1	#	#	1	0	0	0.233	0.747	1	56.19	24887	19159	0.75		68	91
#	1	1	#	0	1	#	#	3	0.057	0.564	1	66.12	24993	19162	0.5		204	362
1	1	0	1	#	#	#	1	3	0.233	0.747	2	49.32	24981	19177	0.62		136	182
0	#	0	#	0	0	#	#	0	0.265	0.767	2	80.32	24963	19222	0.5		293	382
#	0	1	0	0	1	#	#	3	0.237	0.75	4	101.03	24986	19233	0.62		135	180
#	#	1	0	1	1	1	#	3	0.242	0.753	4	84.53	24997	19266	0.62		134	178
#	1	0	0	1	#	0	#	0	0.237	0.75	1	101.4	24953	19270	0.62		135	180
#	#	1	#	0	1	#	1	3	0.241	0.752	1	106.58	24986	19286	0.5		267	355
0	#	0	0	#	1	#	#	1	0.237	0.75	2	102.49	24983	19351	0.5		264	352
#	0	#	1	0	#	1	0	0	0.24	0.751	3	85.42	24992	19356	0.62		133	177
#	0	0	1	0	#	1	#	0	0.235	0.749	2	77.12	24992	19383	0.62		131	175
#	#	0	#	#	1	1	1	1	0.235	0.749	2	92.29	24976	19401	0.5		262	350
#	#	1	1	#	#	0	0	2	0.057	0.563	1	68.13	24956	19449	0.5		196	348
0	1	#	0	1	#	#	1	1	0.249	0.757	2	76.95	24927	19466	0.62		131	173
#	1	1	1	#	1	#	#	3	0.215	0.735	3	81.44	24994	19471	0.5		239	325
0	#	0	#	#	#	#	0	0	0.251	0.759	4	97.16	24995	19478	0.38		534	704
1	0	#	#	0	0	0	1	3	0.228	0.744	1	56.92	24873	19497	0.75		64	86
1	#	1	#	0	0	#	#	2	0.238	0.751	1	83.87	24984	19608	0.5		253	337
#	0	0	1	#	0	0	#	0	0.242	0.753	1	80.64	24990	19613	0.62		128	170
1	0	0	1	0	1	#	#	1	0.237	0.75	1	62.47	24991	19615	0.75		63	84
#	1	#	1	0	1	#	1	3	0.233	0.747	3	95.37	24918	19681	0.62		124	166
0	1	0	0	#	1	#	#	1	0.233	0.747	1	118.41	24983	19684	0.62		124	166
0	0	0	#	#	1	#	#	1	0.233	0.747	1	97.92	24913	19715	0.5		245	328
0	#	0	0	#	1	0	#	1	0.225	0.742	1	96.17	24921	19715	0.62		121	163
0	1	#	#	1	1	1	0	1	0.228	0.744	1	67.59	24983	19721	0.75		61	82
#	#	1	1	1	0	0	#	2	0.235	0.749	2	91.52	24956	19723	0.62		125	167
1	1	1	#	#	#	0	1	3	0.237	0.75	1	82.89	24994	19772	0.62		123	164
#	#	1	0	0	#	1	0	2	0.23	0.745	3	87.86	24930	19810	0.62		120	161
0	0	#	1	#	0	0	#	0	0.242	0.753	1	78.7	24949	19821	0.62		122	162
1	#	1	#	#	1	#	#	3	0.226	0.743	4	106.96	24994	19889	0.38		459	618
1	0	1	#	1	1	#	#	3	0.232	0.747	1	90.92	24928	19938	0.62		118	158
0	0	#	#	0	0	1	#	0	0.24	0.752	1	82.32	24854	19990	0.62		115	153
0	#	#	1	1	1	1	#	1	0.232	0.747	2	77.97	24857	19993	0.62		115	154
0	0	0	#	1	#	1	#	1	0.24	0.752	2	92.56	24897	20019	0.62		115	153
#	0	0	1	#	#	0	1	1	0.222	0.74	1	86.77	24907	20043	0.62		114	154
#	1	1	1	1	1	#	#	3	0.182	0.711	1	87.63	24994	20045	0.62		96	135
#	1	1	#	1	#	0	0	2	0.237	0.75	1	92.37	24910	20046	0.62		117	156
1	#	#	0	1	0	0	0	2	0.227	0.744	2	121.96	24925	20058	0.75		58	78
#	1	1	#	1	#	1	1	3	0.186	0.714	2	59.08	24977	20113	0.62		95	133
#	1	#	1	#	0	#	0	2	0.236	0.749	1	107.98	24912	20138	0.5		227	303
0	0	0	0	0	#	#	1	1	0.232	0.747	1	73.92	24952	20157	0.75		56	75
0	1	#	#	#	1	#	1	1	0.236	0.749	4	97.07	24946	20171	0.5		227	303
1	0	#	0	#	#	1	1	3	0.232	0.747	2	88.65	24962	20187	0.62		112	150
#	#	0	1	1	1	1	#	1	0.24	0.752	2	88.37	24929	20248	0.62		109	145
#	0	1	#	#	1	#	1	3	0.243	0.753	2	102.75	24986	20328	0.5		220	292
0	0	0	1	#	0	0	#	0	0.237	0.75	1	117.52	24941	20333	0.75		54	72
1	0	1	#	#	1	0	#	3	0.24	0.752	1	111.07	24986	20359	0.62		109	145
#	1	1	1	#	#	1	1	3	0.186	0.714	1	59.84	24977	20369	0.62		90	126
0	#	#	#	0	#	1	0	0	0.237	0.75	2	83.98	24992	20384	0.5		216	288
1	#	#	1	0	0	#	0	2	0.234	0.748	1	97.97	24984	20477	0.62		104	139
1	1	#	#	1	0	0	#	2	0.232	0.746	1	81.1	24975	20491	0.62		106	142
#	1	1	#	#	1	0	1	3	0.237	0.75	1	85.6	24994	20498	0.62		105	140
1	#	1	#	1	#	#	1	3	0.209	0.731	1	90.83	24994	20508	0.5		193	264
0	0	1	0	#	#	0	1	3	0.249	0.757	1	60.94	24954	20513	0.75		53	70
1	0	#	0	1	0	#	#	2	0.24	0.752	2	106.83	24925	20520	0.62		106	141
0	#	#	#	#	1	#	1	1	0.232	0.746	4	80.47	24946	20529	0.38		415	556
1	0	#	0	0	#	1	#	2	0.234	0.748	2	86.65	24958	20537	0.62		104	139
#	#	1	1	0	#	0	1	3	0.243	0.754	2	79.14	24947	20540	0.62		104	138
0	0	#	#	1	#	1	1	1	0.229	0.745	2	80.37	24897	20545	0.62		102	137
#	#	0	1	1	#	1	1	1	0.229	0.745	2	72.01	24974	20622	0.62		102	137
1	0	1	0	0	#	0	#	3	0.237	0.75	1	140.04	24986	20634	0.75		51	68
#	0	1	0	#	#	#	0	2	0.236	0.749	2	90.79	24930	20655	0.5		203	271
0	#	#	0	0	#	1	0	0	0.243	0.754	2	85.88	24919	20715	0.62		101	134
#	0	1	0	#	#	0	0	2	0.231	0.746	3	103.31	24925	20738	0.62		97	130
#	#	0	#	#	1	#	1	1	0.239	0.751	4	93.95	24976	20739	0.38		401	534
1	#	#	1	1	0	0	#	2	0.231	0.746	2	83.46	24975	20747	0.62		100	134
1	#	#	0	#	0	1	0	2	0.229	0.744	1	102.72	24889	20768	0.62		99	133
0	1	#	#	0	0	1	#	0	0.234	0.748	1	70.58	24963	20792	0.62		101	135
#	#	1	0	#	1	0	1	3	0.234	0.748	1	105.98	24986	20832	0.62		98	131
1	0	#	#	#	#	#	1	3	0.056	0.561	1	83.05	24986	20832	0.38		294	524
#	#	0	#	0	1	0	#	1	0.23	0.745	3	85.72	24991	20838	0.5		193	259
0	1	0	#	0	#	0	#	1	0.237	0.75	1	95.31	24934	20838	0.62		96	128
#	0	#	0	#	0	#	0	2	0.175	0.706	1	114.51	24925	20864	0.5		192	272
#	#	1	0	0	1	0	1	3	0.237	0.75	1	134.22	24986	20890	0.75		48	64
1	#	1	0	#	#	1	0	2	0.234	0.748	1	107.22	24930	20910	0.62		95	127
1	#	#	#	1	1	1	0	3	0.234	0.748	3	62.73	24926	20917	0.62		95	127
0	#	0	1	#	#	0	1	1	0.234	0.748	1	105.28	24934	20958	0.62		95	127
0	1	#	#	#	0	#	0	0	0.239	0.751	2	89.29	24995	20976	0.5		190	253
1	0	1	#	1	0	#	#	2	0.247	0.756	1	113.56	24956	21083	0.62		93	123
0	#	#	0	1	#	1	1	1	0.231	0.746	2	74.75	24927	21087	0.62		91	122
#	0	1	0	#	#	1	1	3	0.241	0.752	2	87.65	24936	21096	0.62		91	121
0	#	0	0	#	#	0	1	1	0.237	0.75	1	96.12	24952	21112	0.62		90	120
#	1	#	0	1	1	1	#	1	0.237	0.75	2	87.32	24983	21143	0.62		90	120
0	#	0	0	0	#	#	1	1	0.231	0.746	1	87.8	24952	21184	0.62		88	118
0	1	0	#	1	0	#	#	0	0.231	0.746	2	94.71	24995	21231	0.62		88	118
0	0	1	0	#	0	#	#	2	0.227	0.743	1	63.2	24817	21233	0.62		84	113
1	#	#	1	1	#	1	1	3	0.175	0.706	1	68.53	24981	21249	0.62		72	102
1	#	#	#	#	#	#	0	2	0.056	0.562	1	59.47	24985	21280	0.25		524	932
#	1	0	0	#	1	#	#	1	0.239	0.751	2	99.14	24983	21283	0.5		172	229
#	0	#	0	0	#	0	1	3	0.237	0.75	4	111.2	24986	21289	0.62		87	116
#	1	1	1	0	#	#	1	3	0.23	0.746	3	69.23	24918	21308	0.62		85	114
0	#	#	0	1	1	0	0	0	0.244	0.754	2	64.88	24904	21330	0.75		43	57
1	0	1	0	1	0	#	#	2	0.251	0.759	1	129.77	24925	21339	0.75		44	58
1	#	#	#	1	0	0	#	2	0.229	0.745	2	80.93	24975	21339	0.5		172	231
#	1	0	#	0	1	#	1	1	0.241	0.752	1	103.47	24946	21350	0.62		85	113
#	0	1	#	1	#	1	1	3	0.237	0.75	2	94.66	24936	21352	0.62		84	112
0	#	0	#	#	#	0	1	1	0.237	0.75	2	98.08	24952	21368	0.5		168	224
0	0	1	0	#	#	#	1	3	0.241	0.752	1	59.23	24954	21370	0.62		85	113
#	1	#	0	#	0	0	0	0	0.237	0.75	1	92.62	24982	21398	0.62		84	112
1	#	#	0	0	0	#	0	2	0.234	0.748	2	99.59	24889	21430	0.62		83	111
0	0	#	#	0	0	1	0	0	0.23	0.745	1	116.76	24854	21431	0.75		41	55
1	#	#	1	0	#	0	1	3	0.245	0.755	2	81.84	24947	21438	0.62		83	110
#	0	1	0	#	1	0	#	3	0.234	0.748	1	108.8	24986	21448	0.62		83	111
#	#	0	0	1	#	1	1	1	0.234	0.748	3	79.51	24927	21469	0.62		83	111
#	#	1	#	0	#	0	1	3	0.237	0.75	2	97.08	24986	21473	0.5		165	220
0	#	0	#	1	#	#	0	0	0.236	0.749	3	98.56	24995	21475	0.5		164	219
#	0	1	0	1	#	#	0	2	0.234	0.748	1	95.66	24925	21506	0.62		80	107
#	#	0	0	1	1	#	1	1	0.227	0.743	2	101.09	24921	21511	0.62		81	109
#	#	1	1	1	1	1	1	3	0.116	0.65	1	92.51	24847	21519	0.75		26	40
#	1	1	#	#	#	#	0	2	0.056	0.561	1	72.45	24979	21567	0.38		242	431
0	0	#	#	1	0	1	1	1	0.237	0.75	1	55.71	24897	21569	0.75		39	52
0	1	#	#	1	1	0	0	0	0.237	0.75	2	63.46	24904	21586	0.75		39	52
#	1	#	0	1	#	1	1	1	0.245	0.755	1	67.64	24927	21599	0.62		80	106
0	0	0	#	#	0	0	#	0	0.28	0.775	5	93.93	24951	21605	0.62		93	120
1	#	#	0	#	1	#	1	3	0.239	0.751	1	121.53	24986	21634	0.5		157	209
#	0	0	1	#	1	0	#	1	0.237	0.75	2	83.16	24991	21663	0.62		78	104
#	0	#	1	0	0	1	#	0	0.233	0.748	2	81.13	24849	21673	0.62		77	103
1	#	#	1	0	1	#	#	3	0.057	0.563	1	59.76	24947	21692	0.5		116	206
0	0	1	0	1	0	#	#	2	0.222	0.74	1	64.31	24817	21714	0.75		37	50
0	0	#	1	0	#	0	#	1	0.258	0.762	3	78.63	24966	21726	0.62		77	101
1	1	#	1	#	#	1	0	2	0.245	0.755	2	81.98	24979	21736	0.62		77	102
#	0	#	1	#	#	1	0	0	0.058	0.565	1	72.85	24992	21758	0.5		113	200
#	0	#	0	1	#	0	0	2	0.237	0.75	3	88.46	24985	21762	0.62		75	100
#	#	0	#	#	1	1	#	1	0.056	0.562	1	68.71	24983	21784	0.38		223	397
#	#	0	#	0	#	#	0	0	0.064	0.577	1	61.57	24992	21812	0.38		236	409
#	1	0	0	0	#	#	0	0	0.245	0.755	2	91.56	24957	21816	0.62		74	98
0	#	#	1	1	#	0	0	0	0.241	0.753	2	83.06	24949	21831	0.62		73	97
0	1	#	0	1	#	0	0	0	1	1	3	107.34	24953	21842	0.75		49	49
#	#	1	#	#	#	0	0	2	0.055	0.56	1	63.19	24956	21850	0.38		220	393
0	#	#	0	1	#	0	0	0	0.241	0.753	1	93.96	24953	21881	0.62		73	97
0	#	#	0	1	1	1	#	1	0.225	0.742	3	89	24983	21911	0.62		72	97
0	#	#	1	1	1	0	0	0	0.229	0.745	1	66.79	24903	22006	0.75		35	47
1	#	#	#	1	1	0	0	2	0.246	0.755	1	52.34	24985	22018	0.62		71	94
#	#	0	0	#	1	1	1	1	0.225	0.742	2	104.99	24946	22023	0.62		69	93
0	0	#	#	#	1	#	1	1	0.221	0.739	1	80.1	24931	22041	0.5		136	184
#	0	1	0	0	#	#	1	3	0.251	0.758	2	100.07	24986	22049	0.62		69	91
0	0	#	#	#	0	#	0	0	0.266	0.767	2	90.35	24951	22071	0.5		145	189
#	1	0	0	1	0	#	#	0	0.225	0.742	1	88.82	24995	22086	0.62		69	93
1	1	0	0	#	0	1	#	0	0.246	0.756	1	49.08	24957	22141	0.75		34	45
#	#	1	1	1	#	1	1	3	0.186	0.714	3	67.72	24977	22161	0.62		55	77
1	#	1	#	#	#	0	1	3	0.242	0.753	1	104.42	24994	22162	0.5		134	178
0	#	#	#	0	#	#	0	0	0.063	0.575	1	64.13	24992	22166	0.38		210	365
1	#	#	0	1	1	0	0	2	0.237	0.75	3	52.66	24985	22169	0.75		33	44
1	0	#	0	1	#	0	0	2	1	1	4	99.14	24985	22169	0.75		44	44
0	0	#	#	1	1	#	1	1	0.233	0.747	1	84.49	24931	22203	0.62		65	87
#	#	1	#	#	#	0	1	3	0.057	0.564	1	93.69	24994	22241	0.38		195	346
#	0	1	0	1	#	0	#	2	0.228	0.744	2	96.55	24925	22257	0.62		64	86
#	1	#	1	1	#	0	0	2	0.257	0.762	3	98.78	24910	22265	0.62		64	84
1	#	#	1	0	0	1	#	2	0.242	0.753	1	84.94	24984	22277	0.62		64	85
#	#	0	1	1	1	1	0	1	0.237	0.75	1	56.07	24856	22296	0.75		30	40
0	#	#	1	#	#	1	1	1	0.055	0.56	1	57.3	24897	22297	0.5		94	168
0	#	#	1	0	0	0	1	1	0.237	0.75	1	54.23	24863	22303	0.75		30	40
1	1	#	#	0	#	0	1	3	0.247	0.756	1	73.92	24978	22332	0.62		62	82
#	#	1	0	#	1	1	1	3	0.247	0.756	1	89.59	24936	22338	0.62		62	82
#	1	#	1	1	0	#	0	2	0.247	0.756	1	103.19	24908	22348	0.62		62	82
1	#	1	1	#	0	1	#	2	0.252	0.759	2	97.51	24984	22352	0.62		63	83
#	0	#	0	1	#	1	1	3	0.242	0.753	2	90.13	24962	22376	0.62		61	81
1	#	#	1	1	0	#	0	2	0.223	0.741	1	100.99	24956	22396	0.62		60	81
0	0	0	0	#	#	0	0	0	0.328	0.8	1	85.81	24951	22412	0.75		40	50
1	0	#	#	1	1	0	0	2	0.237	0.75	2	48.87	24985	22425	0.75		30	40
#	1	#	0	0	#	0	1	1	0.232	0.747	3	75	24945	22464	0.62		59	79
#	#	0	#	0	1	#	1	1	0.237	0.75	1	95.54	24976	22473	0.5		117	156
1	#	1	#	#	0	1	#	2	0.245	0.755	3	94.22	24984	22533	0.5		117	155
#	1	0	0	1	#	1	1	1	1	1	3	86.01	24927	22535	0.75		39	39
0	1	1	1	1	#	1	#	3	0.259	0.763	3	53.94	24977	22543	0.75		29	38
0	#	#	1	0	#	0	1	1	0.248	0.757	1	92.81	24934	22559	0.62		56	74
#	#	1	#	1	0	#	0	2	0.24	0.752	1	115.41	24956	22560	0.5		115	153
0	0	1	0	0	#	0	#	3	0.259	0.763	1	61.88	24954	22561	0.75		29	38
1	0	0	0	0	#	1	0	1	0	0	1	75.36	22585	22585	0.88		0	18
#	#	1	#	1	0	#	#	2	0.057	0.564	1	78.89	24956	22618	0.38		168	298
0	#	0	#	0	#	#	1	1	0.227	0.743	3	85.37	24952	22630	0.5		110	148
#	0	0	1	1	#	0	#	0	0.248	0.757	1	81.69	24989	22637	0.62		56	74
#	#	1	#	0	#	1	0	2	0.24	0.752	3	94.93	24984	22675	0.5		109	145
1	1	#	1	1	#	#	1	3	0.192	0.719	3	75.02	24994	22677	0.62		46	64
#	0	1	#	#	1	0	1	3	0.237	0.75	1	113.93	24986	22682	0.62		54	72
#	0	0	1	0	#	#	0	0	0.237	0.75	3	78.29	24992	22688	0.62		54	72
0	0	0	#	0	#	1	#	0	0.237	0.75	2	88.91	24992	22688	0.62		54	72
1	1	0	1	0	#	0	1	2	0	0	1	67.76	22718	22718	0.88		0	17
1	#	#	0	0	1	#	1	3	0.226	0.743	1	119.39	24986	22721	0.62		52	70
0	1	0	#	#	1	0	#	1	0.226	0.743	1	103.52	24934	22756	0.62		52	70
1	1	#	1	#	0	0	#	2	0.221	0.739	2	82.3	24975	22773	0.62		51	69
0	1	#	0	#	0	0	#	0	0.231	0.746	2	88.78	24982	22780	0.62		50	67
#	#	1	#	1	#	0	0	2	0.234	0.748	4	91.83	24956	22786	0.5		104	139
#	0	0	1	#	#	0	0	0	0.221	0.739	1	75.76	24990	22790	0.62		51	69
#	0	1	0	#	#	1	0	2	0.231	0.746	1	85.74	24930	22792	0.62		50	67
0	0	#	1	1	#	#	1	1	0.221	0.739	1	78.81	24931	22809	0.62		51	69
0	0	1	1	0	#	0	#	1	0.262	0.765	2	50.91	24966	22815	0.75		26	34
#	0	1	0	0	#	0	1	3	1	1	8	122.24	24986	22817	0.75		34	34
0	1	0	#	#	0	0	#	0	0.25	0.758	1	105.11	24953	22826	0.62		50	66
1	0	#	#	1	#	0	0	2	0.243	0.754	1	81.44	24985	22830	0.62		52	69
#	0	#	0	0	#	1	0	2	0.243	0.754	3	91.86	24930	22841	0.62		49	65
1	#	#	0	0	1	0	#	3	0.25	0.758	1	109.63	24986	22894	0.62		50	66
0	0	#	1	1	0	#	#	0	0.237	0.75	1	77.85	24949	22907	0.62		48	64
1	0	0	0	0	0	#	1	2	0.031	0.5	1	53.97	24958	22910	0.88		8	16
#	0	0	1	#	#	1	1	1	0.237	0.75	1	78.01	24976	22928	0.62		48	64
#	1	1	#	#	0	#	0	2	0.234	0.748	2	95.58	24912	22954	0.5		95	127
1	1	#	1	0	1	#	#	3	0.225	0.742	2	76.86	24871	22974	0.62		46	62
1	#	#	0	0	1	0	0	3	0.225	0.742	1	58.19	24973	22984	0.75		23	31
#	#	0	#	#	1	#	#	1	0.057	0.564	1	60.43	24991	22985	0.25		283	502
0	1	#	0	#	1	#	#	1	0.234	0.748	3	90.17	24983	22987	0.5		95	127
#	0	1	0	0	#	1	#	2	0.237	0.75	1	84.63	24930	23014	0.62		45	60
1	#	#	#	0	0	#	0	2	0.228	0.744	3	98.62	24984	23015	0.5		90	121
1	1	#	#	1	1	1	1	3	0.104	0.636	1	91.45	24833	23041	0.75		14	22
1	#	1	0	1	#	#	0	2	0.25	0.758	1	103.72	24925	23042	0.62		47	62
#	0	1	#	1	#	0	0	2	0.218	0.738	2	93.5	24956	23042	0.62		45	61
#	0	1	0	0	#	0	#	3	0.258	0.763	6	108.84	24986	23073	0.62		45	59
#	1	1	1	#	0	0	1	2	0.026	0.483	1	59	24875	23083	0.75		14	29
0	1	#	#	#	0	0	#	0	0.058	0.565	1	74.13	24982	23092	0.5		65	115
1	0	0	1	#	0	#	#	0	0.218	0.738	1	61.01	24990	23094	0.62		45	61
1	0	0	0	0	#	1	#	2	0.212	0.733	1	66.68	24958	23097	0.75		22	30
#	#	1	#	0	0	#	0	2	0.227	0.744	1	98.02	24984	23103	0.5		87	117
1	#	1	#	#	1	0	#	3	0.227	0.744	3	105.8	24994	23155	0.5		87	117
0	#	#	1	0	1	0	#	1	0.217	0.737	2	79.05	24966	23174	0.62		42	57
#	#	0	1	#	0	0	0	0	0.244	0.754	1	83.76	24990	23198	0.62		43	57
#	1	#	1	#	1	0	#	3	0.056	0.562	1	82.7	24994	23202	0.5		63	112
0	#	#	1	#	0	1	#	0	0.054	0.559	1	60.47	24963	23209	0.5		62	111
#	0	1	0	0	0	0	#	2	0.026	0.481	1	79.34	24751	23215	0.75		13	27
0	#	0	#	#	#	#	1	1	0.234	0.748	3	78.51	24952	23229	0.38		166	222
0	0	1	0	#	0	0	#	2	0.208	0.731	1	67.07	24817	23250	0.75		19	26
1	1	#	#	1	#	1	1	3	0.171	0.702	2	60.96	24981	23251	0.62		33	47
#	1	1	#	1	1	0	0	2	0.223	0.741	1	58.29	24910	23289	0.75		20	27
1	#	#	1	0	#	#	0	2	0.054	0.558	1	63.33	24984	23293	0.5		58	104
#	1	1	1	#	#	0	1	3	0.245	0.755	1	80.7	24994	23314	0.62		40	53
1	#	1	0	#	#	#	0	2	0.237	0.75	1	102.71	24930	23328	0.5		78	104
#	#	1	#	1	0	1	1	3	0.222	0.74	1	47.96	24977	23341	0.62		37	50
#	0	#	1	#	1	0	1	1	0.201	0.725	2	91.29	24931	23357	0.62		37	51
#	0	#	0	1	1	#	1	3	0.269	0.769	1	95.21	24962	23362	0.62		40	52
1	#	#	1	1	#	0	0	2	0.237	0.75	1	88.28	24956	23374	0.62		39	52
1	#	#	0	0	1	0	1	3	0.254	0.76	1	140.18	24986	23406	0.75		19	25
0	#	#	#	1	0	0	#	0	0.241	0.753	2	88.53	24953	23417	0.5		73	97
#	0	1	0	0	0	0	1	0	0	0	1	69.04	23418	23418	0.88		0	12
0	#	0	#	0	#	1	#	0	0.245	0.755	1	86.91	24992	23427	0.5		74	98
1	1	1	#	#	0	1	#	2	0.237	0.75	1	98.14	24968	23432	0.62		36	48
0	1	#	0	1	#	1	#	1	0.214	0.735	1	85.26	24983	23447	0.62		36	49
1	0	0	1	0	1	0	1	3	0	0	1	106.2	23472	23472	1		0	5
#	#	1	#	#	1	1	1	3	0.22	0.739	1	86.53	24936	23473	0.5		65	88
#	#	0	#	#	#	#	1	1	0.054	0.558	1	53	24976	23497	0.25		211	378
1	#	1	#	#	1	1	#	3	0.202	0.726	1	97.68	24909	23509	0.5		61	84
#	0	1	#	0	0	1	0	2	0.203	0.727	1	127.68	24984	23510	0.75		16	22
#	0	1	0	#	0	1	#	2	0.212	0.733	2	89.43	24855	23510	0.62		33	45
#	0	#	1	#	0	1	0	0	0.237	0.75	1	90.83	24887	23511	0.62		33	44
0	1	#	1	1	#	0	0	0	0.019	0.455	1	77.44	24822	23542	0.75		10	22
#	#	1	#	#	0	#	#	2	0.057	0.564	1	67.16	24984	23549	0.25		203	360
#	#	1	#	#	#	#	0	2	0.053	0.556	1	67.65	24984	23581	0.25		197	354
1	#	#	0	0	0	1	0	2	0.203	0.727	1	122.09	24889	23609	0.75		16	22
1	#	1	1	1	#	0	#	2	0.221	0.739	1	99.23	24956	23611	0.62		34	46
0	1	1	#	0	1	#	1	3	0.031	0.5	1	72.5	24918	23638	0.75		10	20
0	1	#	0	0	#	1	0	3	0	0	1	90.78	23639	23639	0.75		0	21
